sponsor,is_bigtech,canonical_name
bloomberg,False,NA
google,True,Alphabet
goldman-sachs,False,NA
a9,True,Amazon
ibm-watson,False,NA
microsoft,True,Microsoft
isi,False,NA
nuance,False,NA
sdl,False,NA
yahoo-labs,False,NA
interactions,False,NA
uwashington,False,NA
digital-roots,False,NA
voicebox,False,NA
machinezone,False,NA
baobab,False,NA
"Google, Inc.",True,Alphabet
Microsoft,True,Microsoft
"Taobao (China) Software Co., Ltd.",True,Alibaba
Amazon,True,Amazon
Apple Inc.,True,Apple
Baidu USA,False,NA
Citadel LLC,False,NA
Facebook,True,Meta
IBM Research,False,NA
Ketchum Trading,False,NA
NVIDIA,True,Nvidia
The Voleon Group,False,NA
Twitter,False,NA
"Adobe Systems, Inc",False,NA
AdRoll,False,NA
Analog Devices | Lyric Labs,False,NA
Artificial Intelligence Journal (AIJ),False,NA
Bloomberg,False,NA
CenturyLink Cognilytics,False,NA
Criteo,False,NA
Cubist Systematic Strategies,False,NA
Deep Genomics,False,NA
D. E. Shaw & Co.,False,NA
Disney Research,False,NA
"eBay, Inc.",False,NA
Imagia,False,NA
Maluuba Inc.,True,Microsoft
Man AHL,False,NA
minds.ai,False,NA
Netflix,False,NA
Oracle,True,Oracle
Panasonic,False,NA
PDT Partners,False,NA
Sony,False,NA
The Alan Turing Institute,False,NA
Toyota,False,NA
Two Sigma,False,NA
United Technologies Research Center,False,NA
Vatic Labs,False,NA
Winton Capital Management,False,NA
Yahoo Labs,False,NA
Cambridge University Press,False,NA
Springer Publishing,False,NA
The MIT Press,False,NA
alibaba,True,Alibaba
Baidu,False,NA
nsf1,False,NA
amazon_logo_RGB,True,Amazon
logo CA,False,NA
fb_logo,True,Meta
INRIA,False,NA
intel,True,Intel
MEL,False,NA
MFG_logo_black,False,NA
MSR_Logo,True,Microsoft
Winton logo,False,NA
adobe_logo_standard,False,NA
ARM_Corp_RGB,False,NA
logo-cristal,False,NA
criteo,False,NA
Netflix_Logo_Digital+Video,False,NA
nokia,False,NA
BrainCorporation,False,NA
dr-logo-red,False,NA
dropbox,False,NA
fli logo,False,NA
gresearch,False,NA
logo_region,False,NA
Grand_Logo_Numberly_Rose_Avec_Baseline_Grise_RVB,False,NA
nvidia,True,Nvidia
Springer,False,NA
Logo_Technicolor,False,NA
uber,False,NA
ulille,False,NA
All_Programmable_Lock_up,False,NA
yahoolabs,False,NA
yandex_eng_logo,False,NA
facebook,True,Meta
qualcomm,False,NA
baidu,False,NA
http://bit.ly/ibmwatsonjobs,False,NA
developer.nvidia,True,Nvidia
http://loop.ai,False,NA
lib/exe/detail.php%3Fid=iclr2015:main&media=iclr2015:necla-logo.jpg.html,False,NA
imagia,False,NA
Google,True,Alphabet
Maluuba,True,Microsoft
Ebay,False,NA
Optum 360,False,NA
IBM TJ Watson Research Center,False,NA
Huawei,True,Huawei
OpenTable,False,NA
Newsela,False,NA
Grammarly,False,NA
Adobe,False,NA
Nuance,True,Microsoft
Civis Analytics,False,NA
Voicebox,False,NA
Brandeis University Computational Linguistics,False,NA
AIG,False,NA
Apple,True,Apple
"Audi of America, Inc.",False,NA
Citadel,False,NA
DCVC,False,NA
DeepMind,True,Alphabet
DiDi Chuxing,False,NA
Intel Corporation,True,Intel
