year,focus_n,Individual/Group Harm,Info & Epistemic Harm,Socioeconomic Harm,Physical Harm,Reliability & Robustness,Bias & Inequity,Security & Resilience,Transparency & Accountability,Alignment,Governance
2015,15,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,13.3%,0.0%,0.0%,0.0%
2016,22,18.2%,0.0%,4.5%,0.0%,27.3%,27.3%,13.6%,9.1%,18.2%,0.0%
2017,50,10.0%,0.0%,2.0%,0.0%,48.0%,14.0%,24.0%,12.0%,16.0%,0.0%
2018,148,10.8%,0.0%,2.7%,2.0%,59.5%,19.6%,41.2%,12.2%,8.1%,0.0%
2019,243,15.6%,0.0%,4.1%,0.4%,56.4%,24.7%,39.1%,11.5%,12.8%,1.2%
2020,376,11.4%,0.0%,2.4%,1.1%,64.4%,19.1%,39.1%,14.6%,8.2%,2.1%
2021,452,15.5%,0.0%,3.1%,1.5%,60.2%,20.8%,32.7%,11.9%,10.0%,2.2%
2022,583,14.4%,0.5%,2.9%,0.5%,62.1%,20.9%,32.1%,13.4%,10.1%,3.9%
2023,723,14.5%,0.1%,2.8%,0.6%,59.3%,20.2%,26.4%,12.0%,11.1%,2.8%
2024,1200,13.4%,1.6%,4.8%,0.3%,63.6%,15.2%,23.6%,9.8%,29.7%,2.9%
2025,1700,12.4%,1.2%,3.2%,0.4%,64.5%,10.4%,22.2%,9.9%,34.5%,2.5%
