"year","conference","paper_n","safety_n","safety_pct","indiv_grp_harm_n","indiv_grp_harm_pct","info_epistemic_harm_n","info_epistemic_harm_pct","socioec_harm_n","socioec_harm_pct","physical_harm_n","physical_harm_pct","abstract_harm_n","abstract_harm_pct","reliability_safety_n","reliability_safety_pct","bias_inequity_n","bias_inequity_pct","security_resilience_n","security_resilience_pct","transparency_accountability_n","transparency_accountability_pct","alignment_n","alignment_pct","governance_n","governance_pct","total_sponsors","bigtech_n","bigtech_pct","total_toptier","bigtech_top_n","bigtech_top_pct"
2015,"iclr",105,2,1.9047619047619,0,0,0,0,0,0,0,0,2,100,2,100,0,0,2,100,0,0,0,0,0,0,9,3,33.3333333333333,0,0,0
2015,"icml",270,7,2.59259259259259,0,0,0,0,0,0,0,0,6,85.7142857142857,3,42.8571428571429,0,0,1,14.2857142857143,0,0,0,0,0,0,37,7,18.9189189189189,4,0,0
2015,"neurips",403,8,1.98511166253102,0,0,0,0,0,0,0,0,7,87.5,3,37.5,0,0,0,0,0,0,0,0,0,0,44,9,20.4545454545455,3,3,100
2016,"iclr",80,3,3.75,1,33.3333333333333,0,0,0,0,0,0,2,66.6666666666667,1,33.3333333333333,2,66.6666666666667,1,33.3333333333333,0,0,0,0,0,0,13,6,46.1538461538462,4,3,75
2016,"icml",322,10,3.1055900621118,0,0,0,0,0,0,0,0,8,80,3,30,0,0,1,10,0,0,0,0,0,0,35,7,20,2,0,0
2016,"neurips",569,14,2.46045694200351,3,21.4285714285714,0,0,1,7.14285714285714,0,0,11,78.5714285714286,6,42.8571428571429,4,28.5714285714286,4,28.5714285714286,1,7.14285714285714,4,28.5714285714286,0,0,64,13,20.3125,14,7,50
2017,"iclr",198,7,3.53535353535354,1,14.2857142857143,0,0,0,0,0,0,5,71.4285714285714,5,71.4285714285714,0,0,3,42.8571428571429,1,14.2857142857143,0,0,0,0,19,7,36.8421052631579,8,6,75
2017,"icml",434,21,4.83870967741935,1,4.76190476190476,0,0,1,4.76190476190476,0,0,17,80.9523809523809,6,28.5714285714286,1,4.76190476190476,4,19.047619047619,3,14.2857142857143,3,14.2857142857143,0,0,30,12,40,7,6,85.7142857142857
2017,"neurips",679,36,5.3019145802651,7,19.4444444444444,1,2.77777777777778,2,5.55555555555556,1,2.77777777777778,28,77.7777777777778,19,52.7777777777778,10,27.7777777777778,7,19.4444444444444,2,5.55555555555556,7,19.4444444444444,0,0,84,15,17.8571428571429,21,10,47.6190476190476
2018,"facct",17,16,94.1176470588235,11,68.75,0,0,7,43.75,0,0,4,25,3,18.75,16,100,0,0,2,12.5,6,37.5,6,37.5,NA,NA,NA,NA,NA,NA
2018,"iclr",337,30,8.90207715133531,0,0,0,0,0,0,0,0,23,76.6666666666667,26,86.6666666666667,0,0,23,76.6666666666667,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2018,"icml",621,43,6.92431561996779,8,18.6046511627907,0,0,2,4.65116279069767,0,0,40,93.0232558139535,21,48.8372093023256,12,27.906976744186,15,34.8837209302326,5,11.6279069767442,4,9.30232558139535,0,0,48,9,18.75,14,8,57.1428571428571
2018,"naacl",403,12,2.97766749379653,5,41.6666666666667,1,8.33333333333333,4,33.3333333333333,0,0,4,33.3333333333333,5,41.6666666666667,4,33.3333333333333,3,25,1,8.33333333333333,3,25,0,0,20,5,25,5,4,80
2018,"neurips",1009,90,8.9197224975223,10,11.1111111111111,1,1.11111111111111,2,2.22222222222222,4,4.44444444444444,77,85.5555555555556,56,62.2222222222222,12,13.3333333333333,37,41.1111111111111,11,12.2222222222222,8,8.88888888888889,0,0,122,17,13.9344262295082,27,11,40.7407407407407
2019,"facct",41,34,82.9268292682927,28,82.3529411764706,4,11.7647058823529,15,44.1176470588235,1,2.94117647058824,18,52.9411764705882,5,14.7058823529412,23,67.6470588235294,1,2.94117647058824,10,29.4117647058824,7,20.5882352941176,10,29.4117647058824,5,3,60,5,3,60
2019,"iclr",502,42,8.36653386454183,2,4.76190476190476,0,0,0,0,2,4.76190476190476,32,76.1904761904762,36,85.7142857142857,1,2.38095238095238,31,73.8095238095238,2,4.76190476190476,5,11.9047619047619,0,0,NA,NA,NA,NA,NA,NA
2019,"icml",773,96,12.4191461836999,11,11.4583333333333,0,0,5,5.20833333333333,0,0,65,67.7083333333333,57,59.375,23,23.9583333333333,44,45.8333333333333,6,6.25,10,10.4166666666667,0,0,59,11,18.6440677966102,9,5,55.5555555555556
2019,"naacl",499,25,5.01002004008016,11,44,0,0,3,12,0,0,11,44,9,36,8,32,5,20,4,16,8,32,1,4,23,6,26.0869565217391,9,4,44.4444444444444
2019,"neurips",1428,152,10.6442577030812,21,13.8157894736842,1,0.657894736842105,5,3.28947368421053,0,0,117,76.9736842105263,87,57.2368421052632,28,18.4210526315789,62,40.7894736842105,13,8.55263157894737,16,10.5263157894737,3,1.97368421052632,103,15,14.5631067961165,55,14,25.4545454545455
2020,"facct",69,62,89.8550724637681,43,69.3548387096774,3,4.83870967741935,32,51.6129032258064,1,1.61290322580645,25,40.3225806451613,9,14.5161290322581,47,75.8064516129032,0,0,25,40.3225806451613,11,17.741935483871,24,38.7096774193548,12,6,50,12,6,50
2020,"iclr",687,83,12.0815138282387,6,7.2289156626506,0,0,2,2.40963855421687,0,0,62,74.6987951807229,68,81.9277108433735,6,7.2289156626506,51,61.4457831325301,4,4.81927710843374,3,3.6144578313253,0,0,13,7,53.8461538461538,3,3,100
2020,"icml",1084,139,12.8228782287823,16,11.5107913669065,0,0,3,2.15827338129496,4,2.87769784172662,112,80.5755395683453,89,64.0287769784173,23,16.5467625899281,59,42.4460431654676,12,8.63309352517986,9,6.47482014388489,1,0.719424460431655,36,12,33.3333333333333,8,6,75
