sponsor,tier,year,conference,is_bigtech,canonical_name
bloomberg,platinum sponsors,2015,naacl,False,NA
google,gold sponsors,2015,naacl,True,alphabet
goldman-sachs,gold sponsors,2015,naacl,False,NA
a9,gold sponsors,2015,naacl,True,amazon
ibm-watson,gold sponsors,2015,naacl,False,NA
microsoft,gold sponsors,2015,naacl,True,microsoft
isi,silver sponsors,2015,naacl,False,NA
nuance,silver sponsors,2015,naacl,False,NA
sdl,silver sponsors,2015,naacl,False,NA
yahoo-labs,bronze sponsors,2015,naacl,False,NA
interactions,bronze sponsors,2015,naacl,False,NA
uwashington,bronze sponsors,2015,naacl,False,NA
digital-roots,bronze sponsors,2015,naacl,False,NA
voicebox,bronze sponsors,2015,naacl,False,NA
machinezone,bronze sponsors,2015,naacl,False,NA
baobab,bronze sponsors,2015,naacl,False,NA
"google, inc.",platinum,2015,neurips,True,alphabet
microsoft,platinum,2015,neurips,True,microsoft
"taobao (china) software co., ltd.",platinum,2015,neurips,True,alibaba
amazon,gold,2015,neurips,True,amazon
apple inc.,gold,2015,neurips,True,apple
baidu usa,gold,2015,neurips,False,NA
citadel llc,gold,2015,neurips,False,NA
facebook,gold,2015,neurips,True,meta
ibm research,gold,2015,neurips,False,NA
ketchum trading,gold,2015,neurips,False,NA
nvidia,gold,2015,neurips,True,nvidia
the voleon group,gold,2015,neurips,False,NA
twitter,gold,2015,neurips,False,NA
"adobe systems, inc",silver,2015,neurips,False,NA
adroll,silver,2015,neurips,False,NA
analog devices | lyric labs,silver,2015,neurips,False,NA
artificial intelligence journal (aij),silver,2015,neurips,False,NA
bloomberg,silver,2015,neurips,False,NA
centurylink cognilytics,silver,2015,neurips,False,NA
criteo,silver,2015,neurips,False,NA
cubist systematic strategies,silver,2015,neurips,False,NA
deep genomics,silver,2015,neurips,False,NA
d. e. shaw & co.,silver,2015,neurips,False,NA
disney research,silver,2015,neurips,False,NA
"ebay, inc.",silver,2015,neurips,False,NA
imagia,silver,2015,neurips,False,NA
maluuba inc.,silver,2015,neurips,True,microsoft
man ahl,silver,2015,neurips,False,NA
minds.ai,silver,2015,neurips,False,NA
netflix,silver,2015,neurips,False,NA
oracle,silver,2015,neurips,True,oracle
panasonic,silver,2015,neurips,False,NA
pdt partners,silver,2015,neurips,False,NA
sony,silver,2015,neurips,False,NA
the alan turing institute,silver,2015,neurips,False,NA
toyota,silver,2015,neurips,False,NA
two sigma,silver,2015,neurips,False,NA
united technologies research center,silver,2015,neurips,False,NA
vatic labs,silver,2015,neurips,False,NA
winton capital management,silver,2015,neurips,False,NA
yahoo labs,silver,2015,neurips,False,NA
cambridge university press,exhibitor,2015,neurips,False,NA
springer publishing,exhibitor,2015,neurips,False,NA
the mit press,exhibitor,2015,neurips,False,NA
alibaba,platinum,2015,icml,True,alibaba
baidu,platinum,2015,icml,False,NA
NA,platinum,2015,icml,NA,NA
nsf1,platinum,2015,icml,False,NA
amazon_logo_rgb,gold,2015,icml,True,amazon
logo ca,gold,2015,icml,False,NA
fb_logo,gold,2015,icml,True,meta
google,gold,2015,icml,True,alphabet
inria,gold,2015,icml,False,NA
intel,gold,2015,icml,True,intel
mel,gold,2015,icml,False,NA
mfg_logo_black,gold,2015,icml,False,NA
msr_logo,gold,2015,icml,True,microsoft
panasonic,gold,2015,icml,False,NA
winton logo,gold,2015,icml,False,NA
adobe_logo_standard,silver,2015,icml,False,NA
arm_corp_rgb,silver,2015,icml,False,NA
logo-cristal,silver,2015,icml,False,NA
criteo,silver,2015,icml,False,NA
netflix_logo_digital+video,silver,2015,icml,False,NA
nokia,silver,2015,icml,False,NA
braincorporation,supporting,2015,icml,False,NA
dr-logo-red,supporting,2015,icml,False,NA
dropbox,supporting,2015,icml,False,NA
fli logo,supporting,2015,icml,False,NA
gresearch,supporting,2015,icml,False,NA
logo_region,supporting,2015,icml,False,NA
grand_logo_numberly_rose_avec_baseline_grise_rvb,supporting,2015,icml,False,NA
nvidia,supporting,2015,icml,True,nvidia
springer,supporting,2015,icml,False,NA
logo_technicolor,supporting,2015,icml,False,NA
twitter,supporting,2015,icml,False,NA
uber,supporting,2015,icml,False,NA
ulille,supporting,2015,icml,False,NA
all_programmable_lock_up,supporting,2015,icml,False,NA
yahoolabs,supporting,2015,icml,False,NA
yandex_eng_logo,supporting,2015,icml,False,NA
google,gold,2015,iclr,True,alphabet
facebook,gold,2015,iclr,True,meta
qualcomm,gold,2015,iclr,False,NA
baidu,gold,2015,iclr,False,NA
http://bit.ly/ibmwatsonjobs,gold,2015,iclr,False,NA
developer.nvidia,silver,2015,iclr,True,nvidia
http://loop.ai,silver,2015,iclr,False,NA
lib/exe/detail.php%3fid=iclr2015:main&media=iclr2015:necla-logo.jpg.html,bronze,2015,iclr,False,NA
imagia,bronze,2015,iclr,False,NA
google,platinum,2016,naacl,True,alphabet
baidu,platinum,2016,naacl,False,NA
bloomberg,gold,2016,naacl,False,NA
amazon,gold,2016,naacl,True,amazon
microsoft,gold,2016,naacl,True,microsoft
maluuba,gold,2016,naacl,True,microsoft
ebay,gold,2016,naacl,False,NA
optum 360,gold,2016,naacl,False,NA
ibm tj watson research center,gold,2016,naacl,False,NA
huawei,silver,2016,naacl,True,huawei
opentable,silver,2016,naacl,False,NA
facebook,bronze,2016,naacl,True,meta
newsela,bronze,2016,naacl,False,NA
grammarly,bronze,2016,naacl,False,NA
adobe,bronze,2016,naacl,False,NA
nuance,bronze,2016,naacl,True,microsoft
civis analytics,bronze,2016,naacl,False,NA
voicebox,bronze,2016,naacl,False,NA
brandeis university computational linguistics,bronze,2016,naacl,False,NA
aig,platinum,2016,neurips,False,NA
apple,platinum,2016,neurips,True,apple
"audi of america, inc.",platinum,2016,neurips,False,NA
citadel,platinum,2016,neurips,False,NA
dcvc,platinum,2016,neurips,False,NA
deepmind,platinum,2016,neurips,True,alphabet
