sponsor,tier,year,conference
bloomberg,platinum sponsors,2015,naacl
google,gold sponsors,2015,naacl
goldman-sachs,gold sponsors,2015,naacl
a9,gold sponsors,2015,naacl
ibm-watson,gold sponsors,2015,naacl
microsoft,gold sponsors,2015,naacl
isi,silver sponsors,2015,naacl
nuance,silver sponsors,2015,naacl
sdl,silver sponsors,2015,naacl
yahoo-labs,bronze sponsors,2015,naacl
interactions,bronze sponsors,2015,naacl
uwashington,bronze sponsors,2015,naacl
digital-roots,bronze sponsors,2015,naacl
voicebox,bronze sponsors,2015,naacl
machinezone,bronze sponsors,2015,naacl
baobab,bronze sponsors,2015,naacl
"Google, Inc.",Platinum,2015,neurips
Microsoft,Platinum,2015,neurips
"Taobao (China) Software Co., Ltd.",Platinum,2015,neurips
Amazon,Gold,2015,neurips
Apple Inc.,Gold,2015,neurips
Baidu USA,Gold,2015,neurips
Citadel LLC,Gold,2015,neurips
Facebook,Gold,2015,neurips
IBM Research,Gold,2015,neurips
Ketchum Trading,Gold,2015,neurips
NVIDIA,Gold,2015,neurips
The Voleon Group,Gold,2015,neurips
Twitter,Gold,2015,neurips
"Adobe Systems, Inc",Silver,2015,neurips
AdRoll,Silver,2015,neurips
Analog Devices | Lyric Labs,Silver,2015,neurips
Artificial Intelligence Journal (AIJ),Silver,2015,neurips
Bloomberg,Silver,2015,neurips
CenturyLink Cognilytics,Silver,2015,neurips
Criteo,Silver,2015,neurips
Cubist Systematic Strategies,Silver,2015,neurips
Deep Genomics,Silver,2015,neurips
D. E. Shaw & Co.,Silver,2015,neurips
Disney Research,Silver,2015,neurips
"eBay, Inc.",Silver,2015,neurips
Imagia,Silver,2015,neurips
Maluuba Inc.,Silver,2015,neurips
Man AHL,Silver,2015,neurips
minds.ai,Silver,2015,neurips
Netflix,Silver,2015,neurips
Oracle,Silver,2015,neurips
Panasonic,Silver,2015,neurips
PDT Partners,Silver,2015,neurips
Sony,Silver,2015,neurips
The Alan Turing Institute,Silver,2015,neurips
Toyota,Silver,2015,neurips
Two Sigma,Silver,2015,neurips
United Technologies Research Center,Silver,2015,neurips
Vatic Labs,Silver,2015,neurips
Winton Capital Management,Silver,2015,neurips
Yahoo Labs,Silver,2015,neurips
Cambridge University Press,Exhibitor,2015,neurips
Springer Publishing,Exhibitor,2015,neurips
The MIT Press,Exhibitor,2015,neurips
alibaba,Platinum,2015,icml
Baidu,Platinum,2015,icml
,Platinum,2015,icml
nsf1,Platinum,2015,icml
amazon_logo_RGB,Gold,2015,icml
logo CA,Gold,2015,icml
fb_logo,Gold,2015,icml
google,Gold,2015,icml
INRIA,Gold,2015,icml
intel,Gold,2015,icml
MEL,Gold,2015,icml
MFG_logo_black,Gold,2015,icml
MSR_Logo,Gold,2015,icml
Panasonic,Gold,2015,icml
Winton logo,Gold,2015,icml
adobe_logo_standard,Silver,2015,icml
ARM_Corp_RGB,Silver,2015,icml
logo-cristal,Silver,2015,icml
criteo,Silver,2015,icml
Netflix_Logo_Digital+Video,Silver,2015,icml
nokia,Silver,2015,icml
BrainCorporation,Supporting,2015,icml
dr-logo-red,Supporting,2015,icml
dropbox,Supporting,2015,icml
fli logo,Supporting,2015,icml
gresearch,Supporting,2015,icml
logo_region,Supporting,2015,icml
Grand_Logo_Numberly_Rose_Avec_Baseline_Grise_RVB,Supporting,2015,icml
nvidia,Supporting,2015,icml
Springer,Supporting,2015,icml
Logo_Technicolor,Supporting,2015,icml
Twitter,Supporting,2015,icml
uber,Supporting,2015,icml
ulille,Supporting,2015,icml
All_Programmable_Lock_up,Supporting,2015,icml
yahoolabs,Supporting,2015,icml
yandex_eng_logo,Supporting,2015,icml
google,gold,2015,iclr
facebook,gold,2015,iclr
qualcomm,gold,2015,iclr
baidu,gold,2015,iclr
http://bit.ly/ibmwatsonjobs,gold,2015,iclr
developer.nvidia,silver,2015,iclr
http://loop.ai,silver,2015,iclr
lib/exe/detail.php%3Fid=iclr2015:main&media=iclr2015:necla-logo.jpg.html,bronze,2015,iclr
imagia,bronze,2015,iclr
Google,platinum,2016,naacl
Baidu,platinum,2016,naacl
Bloomberg,gold,2016,naacl
Amazon,gold,2016,naacl
Microsoft,gold,2016,naacl
Maluuba,gold,2016,naacl
Ebay,gold,2016,naacl
Optum 360,gold,2016,naacl
IBM TJ Watson Research Center,gold,2016,naacl
Huawei,silver,2016,naacl
OpenTable,silver,2016,naacl
Facebook,bronze,2016,naacl
Newsela,bronze,2016,naacl
Grammarly,bronze,2016,naacl
Adobe,bronze,2016,naacl
Nuance,bronze,2016,naacl
Civis Analytics,bronze,2016,naacl
Voicebox,bronze,2016,naacl
Brandeis University Computational Linguistics,bronze,2016,naacl
AIG,Platinum,2016,neurips
Apple,Platinum,2016,neurips
"Audi of America, Inc.",Platinum,2016,neurips
Citadel,Platinum,2016,neurips
DCVC,Platinum,2016,neurips
DeepMind,Platinum,2016,neurips
DiDi Chuxing,Platinum,2016,neurips
Facebook,Platinum,2016,neurips
Google,Platinum,2016,neurips
Intel Corporation,Platinum,2016,neurips
KLA-Tencor,Platinum,2016,neurips
Microsoft,Platinum,2016,neurips
Tencent,Platinum,2016,neurips
Winton,Platinum,2016,neurips
Adobe Research,Gold,2016,neurips
ALIBABA,Gold,2016,neurips
Amazon,Gold,2016,neurips
AtlaSense,Gold,2016,neurips
Baidu,Gold,2016,neurips
Criteo,Gold,2016,neurips
IBM Research,Gold,2016,neurips
NVIDIA,Gold,2016,neurips
The Voleon Group,Gold,2016,neurips
360 International Development Co. Ltd.,Silver,2016,neurips
Automotive Safety Technologies GmbH,Silver,2016,neurips
Bloomberg,Silver,2016,neurips
"Cubist Systematic Strategies, LLC",Silver,2016,neurips
eBay,Silver,2016,neurips
FeatureX,Silver,2016,neurips
G-Research,Silver,2016,neurips
"Hutchin Hill Capital, LP",Silver,2016,neurips
Jump Trading,Silver,2016,neurips
Man AHL,Silver,2016,neurips
NextAI,Silver,2016,neurips
Optiver,Silver,2016,neurips
Qualcomm,Silver,2016,neurips
Renaissance Technologies,Silver,2016,neurips
Robert Bosch GmbH,Silver,2016,neurips
Rosetta Analytics,Silver,2016,neurips
SAP SE,Silver,2016,neurips
Sentient Technologies,Silver,2016,neurips
The D. E. Shaw Group,Silver,2016,neurips
"Two Sigma Investments, LP",Silver,2016,neurips
United Technologies Research Centre Ireland,Silver,2016,neurips
Beijing Institute of Big Data Research,Bronze,2016,neurips
BenevolentAI,Bronze,2016,neurips
"Cheetah Mobile America, Inc.",Bronze,2016,neurips
Datatang Technology,Bronze,2016,neurips
Disney Research,Bronze,2016,neurips
Invenia Labs,Bronze,2016,neurips
LLC Yandex,Bronze,2016,neurips
Maluuba Inc.,Bronze,2016,neurips
Nokia,Bronze,2016,neurips
Oracle,Bronze,2016,neurips
Palantir Technologies,Bronze,2016,neurips
Panasonic,Bronze,2016,neurips
PDT Partners,Bronze,2016,neurips
QuantumBlack,Bronze,2016,neurips
RBC,Bronze,2016,neurips
Recursion Pharmaceuticals,Bronze,2016,neurips
Schibsted Media Group,Bronze,2016,neurips
"SigOpt, Inc.",Bronze,2016,neurips
Telefonca I+D,Bronze,2016,neurips
Zalando SE,Bronze,2016,neurips
baidu_research_logo_whitebg,Platinum,2016,icml
american,Platinum,2016,icml
adobe,Gold,2016,icml
ali,Gold,2016,icml
amazon_logo,Gold,2016,icml
Bloomberg,Gold,2016,icml
Bosch_SL-en_4C_S,Gold,2016,icml
cubist,Gold,2016,icml
dwave,Gold,2016,icml
Facebook,Gold,2016,icml
google,Gold,2016,icml
